Date,Company,Industry,Revenue,Expenses,Profit,Assets,Liabilities,Equity,MarketCap,Dividends,EarningsPerShare,PriceEarningsRatio,Beta,Volatility,DebtToEquityRatio,EconomicIndicator,MarketSentiment,GeographicLocation,CustomerAgeGroup,CustomerIncomeGroup,GrossMargin,TotalProfit,ROI,ScenarioRevenue,NetIncome,IndustryROABenchmark,RevenueRank,EconomicGrowthRate,CustomerSatisfactionScore
2020-01-11,A,Finance,956824.0,395483,47197,4579384,93792,7943770,48026498,15057,-7.37874844110896,14.190497688082694,1.233631118464742,0.295968707488204,0.011806988369502138,-0.46341769281246226,0.4281738642648556,North America,18-25,High,561341.0,10228621,0.010306408023437214,948014.8630631976,561341.0,0.008647471595630864,1.0,0.005279629269732085,9
2020-01-12,C,Finance,23643.0,53354,97225,5800274,852877,8017283,41550187,17576,-7.334680491684686,20.00602195017856,1.0856845544476836,0.2014543167230606,0.10637980472935782,-0.46572975357025687,0.6034561661395836,North America,26-35,Medium,-29711.0,12271563,0.016762139167908276,22595.223748045584,-29711.0,0.008647471595630864,1.0,0.006261651751013399,6
2020-01-13,A,Finance,735192.0,371370,15206,1462370,59941,2865974,21521554,14711,7.990941597417827,25.81642880749328,1.4294929082887886,0.3939993581424975,0.02091470473912185,0.24196227156603412,-0.3210996149143879,Africa,26-35,High,363822.0,10228621,0.010398189240753024,849124.5676032024,363822.0,0.008647471595630864,1.0,0.03378469627461505,6
2020-01-14,A,Technology,387830.0,416088,94426,6277797,164848,1976690,67937082,27131,0.6731795343234168,39.86151081874032,1.7591044896952477,0.379565237270311,0.08339598014863231,-1.913280244657798,0.6296502274930245,North America,60+,High,-28258.0,10228621,0.01504126367896254,448941.693377257,-28258.0,0.008624016061378312,1.0,0.02115824587226946,2
2020-01-15,C,Healthcare,185790.0,39624,21286,5317000,441483,712841,62026309,40730,6.904068847111855,33.355105901836296,1.4225884786841032,0.1672096704276604,0.619328854541195,-1.7249178325130328,-0.8397703072306497,North America,26-35,Low,146166.0,12271563,0.004003385367688546,173588.52895470028,146166.0,0.008637771379571375,1.0,0.02389604524091988,3
2020-01-16,C,Technology,43662.0,253839,96159,3929575,410622,9307767,38483683,18391,-3.802447552763233,23.225778928086957,2.2050926020707315,0.3893957710569962,0.0441160592008803,-0.5622875292409727,0.7896333121210553,North America,46-60,Low,-210177.0,12271563,0.024470585241406512,45671.6702399159,-210177.0,0.008624016061378312,1.0,-0.0022042100893512606,4
2020-01-17,A,Technology,446069.0,8930,11400,3171129,196763,8855690,38876832,43701,9.353191891311138,9.57489595574454,2.409436987952186,0.1721151840227044,0.02221882202290279,-1.0128311203344238,0.09518475230747248,Africa,36-45,Low,437139.0,10228621,0.003594934170133098,522241.09173553734,437139.0,0.008624016061378312,1.0,0.008020335707827383,4
2020-01-18,C,Finance,226850.0,353779,96055,4387425,935247,7261271,3546402,10703,-6.531548644870446,26.6517598543943,1.4273072794585386,0.2882828561999984,0.12879935206935536,0.3142473325952739,0.6345955399249874,Asia,26-35,Low,-126929.0,12271563,0.02189325173649692,268777.18819393823,-126929.0,0.008647471595630864,1.0,0.02887079776446287,8
2020-01-19,D,Technology,297141.0,475434,82629,6683138,581713,8665535,5007012,10758,9.177370332701084,19.222183293893263,0.701151621668348,0.4437593766527091,0.06712949633230955,-0.9080240755212109,-0.09536343096339972,Asia,26-35,High,-178293.0,11945424,0.012363802752539302,298205.839292019,-178293.0,0.008624016061378312,1.0,0.022867741123825863,1
2020-01-20,A,Healthcare,954367.0,480810,2903,7184678,158092,2031749,38568751,16597,-3.1238092158710677,31.47997046671332,0.9554019210688844,0.2172466213792794,0.07781079257329522,-1.4123037013352915,0.28715539039304994,North America,46-60,Medium,473557.0,10228621,0.00040405429443045326,936358.0203779149,473557.0,0.008637771379571375,1.0,0.018527947213144026,10
2020-01-21,D,Technology,187265.0,13533,23278,7764214,185157,133180,45632936,30219,-5.744091164546353,11.9616424263766,1.2130486098356448,0.4935973729928046,1.3902763177654303,1.465648768921554,0.05280532187222642,Africa,18-25,High,173732.0,11945424,0.002998114168414214,170687.87642894217,173732.0,0.008624016061378312,1.0,0.025648423586001227,4
2020-01-22,C,Technology,1287716.4057045213,102672,91886,8486670,474609,7053749,1535809,6297,0.5479647303717972,11.047167447153944,2.4254258863494926,0.2568534642028691,0.06728464537085173,-0.22577630048653566,0.46317904351066375,Asia,18-25,High,1185044.4057045213,12271563,0.010827097082836967,1524075.1413939833,1185044.4057045213,0.008624016061378312,1.0,0.036357978061358154,4
2020-01-23,B,Healthcare,900323.0,382944,88396,978535,839532,2297044,57092689,8122,-0.6941527850886668,31.64204501264451,1.7236745329001215,0.4862921802856353,0.36548363897252295,0.06752820468792384,-0.8367400359388208,Asia,60+,High,517379.0,9976726,0.09033504166943442,771690.0012183703,517379.0,0.008637771379571375,1.0,0.017789575364629495,1
2020-01-24,A,Technology,231853.0,173246,13547,5013832,991180,5607972,32742955,7341,-9.958741494189749,13.112319263929894,0.8316559278078111,0.4445551686958843,0.1767448196959614,-1.4247481862134568,-0.8792958320188724,Asia,46-60,Medium,58607.0,10228621,0.002701925393591169,239256.4906781573,58607.0,0.008624016061378312,1.0,0.020693698026580696,3
2020-01-25,D,Technology,19377.0,72853,33936,7962980,676172,595653,79204782,15722,-9.268205274780218,45.79466316883834,0.8623928447585374,0.1659780224972132,1.135177695738962,-0.5443827245251827,-0.5057935319797071,Africa,36-45,Low,-53476.0,11945424,0.004261721114457151,17691.590613483466,-53476.0,0.008624016061378312,1.0,0.02192596918731305,5
2020-01-26,B,Healthcare,829572.0,17132,30610,6597454,461568,9690077,41174967,28924,0.1348332204431628,22.50719916514865,1.5530349805111368,0.4879733337882472,0.04763305802420352,0.11092258970986608,-0.6809106397736233,Africa,36-45,High,812440.0,9976726,0.004639668575180668,756240.586176161,812440.0,0.008637771379571375,1.0,0.04392109635273993,6
2020-01-27,A,Technology,973777.0,323567,13770,4722747,228218,3836778,81400766,44312,6.7651128409171655,21.66884872601081,1.0749752966716408,0.4966343265394848,0.05948167968018999,-1.1509935774223028,0.7435671331844034,North America,46-60,High,650210.0,10228621,0.0029156759826431526,936761.238443769,650210.0,0.008624016061378312,1.0,-0.0009935626441902566,9
2020-01-28,A,Healthcare,294938.0,347861,37989,7339254,34346,7447197,91011049,15569,-1.790945873751772,42.22404217552687,2.131337672617677,0.1781413247612248,0.004611936544716086,0.37569801834567196,-0.5615720252839114,South America,36-45,Low,-52923.0,10228621,0.005176139155287445,353783.196361439,-52923.0,0.008637771379571375,1.0,0.026832230147888082,9
2020-01-29,D,Technology,507125.0,392992,36663,5944538,542213,6379972,82310160,14974,6.047536568293779,13.50484621601164,1.944697789989843,0.2947393817687321,0.0849867366189068,-0.600638689918805,0.9517305116382626,Asia,18-25,High,114133.0,11945424,0.006167510410396906,416849.91534245794,114133.0,0.008624016061378312,1.0,0.018851977512409364,9
2020-01-30,C,Technology,85347.0,16860,39557,460596,376993,1408548,37543977,20788,9.024287081164385,5.929310857193572,2.2535915383474934,0.4540316367124148,0.2676465409769493,-0.2916937497932768,-0.3262084164577863,South America,36-45,Medium,68487.0,12271563,0.0858822047955258,88028.32342328671,68487.0,0.008624016061378312,1.0,0.025667717261841798,1
2020-01-31,D,Technology,950208.0,23800,63112,6731616,302795,7893417,33479337,7768,3.393911226998254,7.956044246676014,2.244589136028339,0.4230466998512135,0.03836044643276797,-0.6017066122293969,-0.6357641686226014,Africa,36-45,High,926408.0,11945424,0.009375460513493342,791550.6900569539,926408.0,0.008624016061378312,1.0,0.013426274460052757,9
2020-02-01,C,Technology,431227.0,115872,70339,9637208,162810,5692723,49047059,45880,-3.674595616594692,19.404592721023167,0.93588512337974,0.3343144814138803,0.028599670140282602,1.8522781845089378,0.5793970142849583,Africa,46-60,High,315355.0,12271563,0.00729869065812422,371635.02158172865,315355.0,0.008624016061378312,1.0,0.019510349691415498,8
2020-02-02,C,Finance,1517242.502653841,317061,65230,5901388,388783,7828294,66071446,29204,3.7129424272872384,6.733895897480549,1.2672721566804033,0.373982897010142,0.04966382202814559,-0.013497224737933921,0.3174155510017522,Africa,46-60,Low,1200181.502653841,12271563,0.01105333186023356,1480563.4332628318,1200181.502653841,0.008647471595630864,1.0,0.027114105794654952,2
2020-02-03,D,Technology,500552.0,498643,93648,9513963,134321,5825011,56562877,1183,2.4785167770926275,37.05643063224957,2.2866492340938347,0.3921985040855829,0.023059355596066686,-1.0577109289559004,-0.003608567093722037,South America,36-45,High,1909.0,11945424,0.009843216754153868,502646.33586628956,1909.0,0.008624016061378312,1.0,0.05112910201043841,1
2020-02-04,B,Technology,824838.0,236700,18296,1253302,431954,7573506,33587876,9569,-8.649516599127642,13.17769562203874,1.0771145904154296,0.2344264076772785,0.05703487922238393,0.822544912103189,0.11072710187526247,Africa,26-35,High,588138.0,9976726,0.014598237296357942,745255.125012231,588138.0,0.008624016061378312,1.0,0.028080361894020717,1
2020-02-05,C,Healthcare,90566.0,185792,87336,9021875,147414,6298924,8180004,12612,-2.6929779187130087,19.46216333992069,1.2000048992228558,0.1681397150096346,0.023403044710493412,-1.2208436499710222,0.4384035565445277,North America,46-60,Medium,-95226.0,12271563,0.009680471077242812,83916.90260590895,-95226.0,0.008637771379571375,1.0,0.011519344019694913,6
2020-02-06,D,Technology,918433.0,48231,29427,1148349,240406,9674913,46236639,21402,-1.2722637285819085,17.63926767835509,2.4784483323828344,0.3141744628958133,0.02484838881755319,0.2088635950047554,-0.5430905173374025,Africa,60+,Low,870202.0,11945424,0.025625484935328895,766695.752525887,870202.0,0.008624016061378312,1.0,0.01576240317977297,9
2020-02-07,C,Technology,932970.0,128227,88395,1770277,378264,8590354,4317238,30828,7.299798106595944,33.44355679724026,1.9091286885879384,0.2414289038290467,0.044033575333449586,-1.9596701238797756,0.9926678321134839,Europe,60+,Low,804743.0,12271563,0.049932863613999394,859533.9846932682,804743.0,0.008624016061378312,1.0,0.01546585891616146,7
2020-02-08,D,Technology,59230.0,218577,8915,6682403,964807,8262935,19967098,40639,6.261964350291606,30.734400371192297,1.3505219239658734,0.1842875704286547,0.11676323243496409,-1.3281860488984305,0.9495863242935663,South America,18-25,Medium,-159347.0,11945424,0.0013341009214798928,70283.70254580384,-159347.0,0.008624016061378312,1.0,0.00204356827369985,5
2020-02-09,C,Technology,696313.0,424687,37795,7243777,936564,2592869,26958155,36758,2.9233623047332635,7.61696858686474,2.397368864183786,0.3593449458777941,0.3612076043949771,0.19686123586912352,0.30065137269387376,Europe,36-45,High,271626.0,12271563,0.005217581932740337,820175.2124218043,271626.0,0.008624016061378312,1.0,0.016699098082985628,2
2020-02-10,C,Healthcare,337367.0,138929,61213,4481304,49946,4603100,36905608,32118,-8.146246043835625,5.154881543054094,2.320400101906747,0.15784323840066,0.010850513784188916,0.7384665799954104,-0.6009150981417097,Africa,26-35,Low,198438.0,12271563,0.013659640140459117,315084.3536434577,198438.0,0.008637771379571375,1.0,0.02732829081821745,1
2020-02-11,A,Finance,536085.0,356658,87513,1141920,157143,5911665,10304769,16579,3.288700197512197,32.664872128781155,2.118697350879076,0.1077214238736834,0.026581851305850383,0.1713682811899705,0.36045648486258264,North America,18-25,Low,179427.0,10228621,0.07663671710802858,551278.4929719999,179427.0,0.008647471595630864,1.0,0.0072576788092320495,2
2020-02-12,A,Healthcare,338437.0,10647,92958,1754826,102939,3298288,61113048,49743,3.768426125767803,17.764897009351753,1.490982087790491,0.237172273491455,0.031209827643917085,-0.11564828238824053,-0.8556031820416483,Asia,36-45,High,327790.0,10228621,0.052972773368983594,393885.8941525658,327790.0,0.008637771379571375,1.0,0.030484826510505925,1
2020-02-13,B,Finance,693237.0,100437,45349,8732872,867629,3096060,47373963,2681,-3.315367371253255,8.439305273433844,1.909873474857216,0.3792892674907611,0.28023649412479085,-0.3011036955892888,-0.9386949955883879,Africa,46-60,High,592800.0,9976726,0.005192907900173047,556304.3418624429,592800.0,0.008647471595630864,1.0,0.024877748210843383,3
2020-02-14,A,Healthcare,82560.0,458041,80466,5670963,290921,2092454,79493493,32939,-9.666690711175352,15.56769065713072,1.7984042134447509,0.4005073942239354,0.1390334028848424,-1.4785219903674274,-0.48463422297757264,North America,60+,Low,-375481.0,10228621,0.01418912449261263,92820.01422682864,-375481.0,0.008637771379571375,1.0,0.012657666780289623,6
2020-02-15,A,Finance,678025.0,121279,68398,2659224,348651,9642180,99710982,26315,8.832558626823463,35.301225818868,1.7311136606816353,0.4559700456619116,0.03615893916106109,-0.7198442083947086,-0.07475408652136739,South America,26-35,High,556746.0,10228621,0.025721037415426456,799627.3064118826,556746.0,0.008647471595630864,1.0,0.018584703626621527,8
2020-02-16,A,Technology,180487.0,273685,11004,9503821,855292,9851580,75646740,6272,-0.6576050150798967,48.65239428882739,1.133842054700506,0.2024014748216286,0.08681774903111988,-0.4606387709597875,0.736545010816761,Europe,60+,Low,-93198.0,10228621,0.0011578500899795988,150982.8431250643,-93198.0,0.008624016061378312,1.0,0.035983218076410334,3
2020-02-17,B,Finance,630084.0,454861,38937,9038527,40119,3043826,62571030,28531,8.814126958930814,43.09759728825127,2.445064710555548,0.3903697398704041,0.0131804511821635,1.0571222262189157,0.45433813953261604,Europe,46-60,High,175223.0,9976726,0.004307892204116887,544757.4415225468,175223.0,0.008647471595630864,1.0,0.02733547813505866,10
2020-02-18,C,Healthcare,405019.0,433976,88114,8798778,575023,6511854,33829495,24459,1.058062161456526,25.86144993006713,1.6100641234033626,0.2023685281315566,0.08830403752909693,0.3436182895684614,0.4854130423999621,Europe,36-45,High,-28957.0,12271563,0.010014345173841185,479663.4027208606,-28957.0,0.008637771379571375,1.0,0.02008783654898148,9
2020-02-19,B,Technology,296036.0,432904,21608,1532628,19493,4366752,98864843,37707,-1.4409160474307503,21.649109485403443,1.7532533452414123,0.3709256919994768,0.004463958566916555,-1.763040155362734,-0.1490133311038493,South America,46-60,Medium,-136868.0,9976726,0.014098659296319786,300481.29358508537,-136868.0,0.008624016061378312,1.0,0.01762316683039016,10
2020-02-20,B,Healthcare,459092.0,330883,67631,6460806,905675,4530312,71495660,16421,3.9806296760919686,37.415639462037376,1.3894890196504368,0.1819972135476609,0.1999144871258315,0.324083969394795,-0.30813001490607417,North America,46-60,High,128209.0,9976726,0.010467888990940139,369880.62452515704,128209.0,0.008637771379571375,1.0,0.020766090704516595,5
2020-02-21,A,Healthcare,889602.0,485528,-6285,4265026,249170,3066088,50905661,8360,-5.830748729024915,37.9442434792771,1.7406873291597225,0.3017004288464544,0.08126642157694104,-0.38508228041631654,-0.2579224740307946,South America,60+,Medium,404074.0,10228621,-0.0014736135254509585,803357.5765456132,404074.0,0.008637771379571375,1.0,0.014882364420576966,7
2020-02-22,B,Finance,401113.0,191838,54538,4981605,94179,1807949,84101104,7254,7.436626403257286,9.37000276386902,1.806841461069283,0.4015766736001283,0.05209162426594998,-0.6769220003059587,0.9752991274721157,Europe,26-35,High,209275.0,9976726,0.010947877240367311,393081.70280680206,209275.0,0.008647471595630864,1.0,-0.0010474950571901474,8
2020-02-23,D,Finance,633125.0,454311,80819,5154930,129689,9423488,33194270,17445,-9.203103931600548,38.45224368111061,1.627756732979846,0.1424623267782455,0.013762313911791472,0.6116762888408679,-0.919781617175035,Africa,46-60,Low,178814.0,11945424,0.015678001447158352,681979.1817170224,178814.0,0.008647471595630864,1.0,0.040421779105347305,3
2020-02-24,C,Healthcare,612185.0,414512,5609,155865,609301,8735651,93164955,40506,-7.78816614120773,38.70028756715323,1.870925617704657,0.3007577739051356,0.0697487800279567,1.030999522495951,0.7340629922448971,Asia,60+,Low,197673.0,12271563,0.03598627016969814,669279.9144358707,197673.0,0.008637771379571375,1.0,0.021553249991994015,2
2020-02-25,C,Technology,96748.0,430384,31820,9199585,516249,9118699,3164583,8042,6.309426859430264,30.09347960964529,1.4746577244200632,0.1973011388986679,0.056614326232283796,0.9312801191161986,0.15735081714478683,South America,26-35,High,-333636.0,12271563,0.0034588516764614925,115920.41621300479,-333636.0,0.008624016061378312,1.0,0.023981472651225372,2
2020-02-26,A,Finance,542661.0,281348,34537,7463191,200247,9142304,67999311,27169,6.668435618501178,22.627269600506292,0.5274733482402896,0.1277628305164899,0.021903340777117017,-0.8392175232226385,-0.12276916162081908,South America,36-45,High,261313.0,10228621,0.004627645198950422,496537.245987516,261313.0,0.008647471595630864,1.0,0.019420922501230915,5
2020-02-27,C,Finance,117692.0,153334,52443,9235736,67332,689205,48171839,14672,1.2245047653500798,5.775195565614239,0.7587371485950425,0.2705494683401117,0.0976951705225586,-0.3092123758512146,0.450515320830273,North America,36-45,Low,-35642.0,12271563,0.005678269712343445,119491.28009164183,-35642.0,0.008647471595630864,1.0,0.012648831992754121,1
2020-02-28,A,Healthcare,460103.0,264273,19390,9692486,676446,9024609,77656973,49894,6.9423588656568,13.171557579005938,1.8242960412458356,0.3419330517213224,0.07495571276273576,0.33126343140356396,-0.0266621171505943,North America,18-25,High,195830.0,10228621,0.0020005187523613652,466235.90573633916,195830.0,0.008637771379571375,1.0,0.018140755190512295,2
2020-02-29,B,Finance,256978.0,165551,-9843,7692677,125645,5020596,9768626,33645,-5.37622883839326,17.302613024289926,1.073538669231394,0.3400079833553471,0.025025913258107206,0.9755451271223592,0.7468464761633211,South America,60+,Medium,91427.0,9976726,-0.0012795285698333624,247279.16299289287,91427.0,0.008647471595630864,1.0,0.004006052378056887,9
2020-03-01,D,Healthcare,943953.0,333830,-4839,2571886,677747,1460314,19690644,43317,-4.359108032410097,7.815925926252452,2.233511396329704,0.4118243254820428,0.4641104584356515,-0.47917423784528995,0.801403728022517,Europe,26-35,Medium,610123.0,11945424,-0.0018814986356315948,819034.7508712937,610123.0,0.008637771379571375,1.0,0.04277086498053305,7
2020-03-02,C,Technology,47760.0,438165,39191,4153415,368768,6386060,81016428,45664,-9.930399750508132,7.6056299765514,1.8585670874603388,0.0746780255568876,0.057745777521664376,-0.18565897666381712,-0.15655814625308917,Asia,46-60,Medium,-390405.0,12271563,0.009435849776629594,56881.33018306412,-390405.0,0.008624016061378312,1.0,0.0076548800157760395,6
2020-03-03,C,Technology,234719.0,385167,8552,7438827,894539,7059459,89983011,23393,0.1797362238371853,16.881535172692335,1.6382744419248814,0.180732883602482,0.12671495081988576,-1.1063349740060282,-0.44634440552989685,North America,36-45,Medium,-150448.0,12271563,0.0011496436198879204,267891.1026948778,-150448.0,0.008624016061378312,1.0,0.009680337161528205,9
2020-03-04,C,Finance,507940.0,462847,32110,2567496,933114,6332133,75987436,40011,7.76428582836726,38.858042091518286,0.691072604504789,0.1675670641607228,0.14736171839726045,-1.1962066240806708,0.18470065718672446,Europe,26-35,Medium,45093.0,12271563,0.012506348598011448,507601.31135671,45093.0,0.008647471595630864,1.0,0.015597407956135996,7
2020-03-05,D,Technology,408186.0,255881,20194,9600398,377597,400641,1130992,27387,5.285002651704112,23.875303813271508,2.0500344683472207,0.1478601495953032,0.942482172318859,0.812525822394198,0.8247266912333819,Africa,60+,High,152305.0,11945424,0.002103454460950473,425043.33444148133,152305.0,0.008624016061378312,1.0,0.032880757248523775,5
2020-03-06,D,Technology,60564.0,164845,91170,8277560,277669,4079503,87398133,48507,3.7035258579980894,24.855580638723016,2.305321220922263,0.1628101909696061,0.06806441863138721,1.356240028570823,-0.5786756219886668,North America,18-25,High,-104281.0,11945424,0.011014115270683631,53956.73537911496,-104281.0,0.008624016061378312,1.0,0.02014508999262654,9
2020-03-07,A,Finance,318111.0,94593,41534,9510566,232121,331565,86085866,43994,9.176160450796344,21.732273384638773,1.8984521067297773,0.1437330396060882,0.7000769079969237,-0.07201012158033385,0.24593316712696556,Europe,36-45,Medium,223518.0,10228621,0.0043671428177881316,323682.6594997556,223518.0,0.008647471595630864,1.0,0.0076386420396953765,6
2020-03-08,A,Finance,336305.0,193130,9776,4355782,176162,3772348,38122487,7254,-6.204985503039406,41.80884625628104,0.7938990570542284,0.4366096097956695,0.04669823674804127,1.0035328978920242,0.2631204401850411,Europe,26-35,High,143175.0,10228621,0.00224437311141834,362532.7722477672,143175.0,0.008647471595630864,1.0,0.032543383607573396,6
2020-03-09,B,Technology,77470.0,201003,1521,918041,912860,9048828,90421892,13075,2.405582350970404,40.29734133247141,1.0523660775440598,0.4237815112880126,0.10088157272963968,0.36163602504763415,0.46622604483056196,Asia,26-35,High,-123533.0,9976726,0.0016567887490863697,77939.99587564362,-123533.0,0.008624016061378312,1.0,0.027310006267854813,4
2020-03-10,B,Healthcare,214668.0,362624,95514,9606507,157406,2460322,77201849,23016,-8.908827606652403,29.042172034095685,0.9695884256222824,0.432345355699444,0.0639778045312768,-0.6451197546051243,-0.7368646297454804,Asia,26-35,Medium,-147956.0,9976726,0.009942635757200823,256767.41479965125,-147956.0,0.008637771379571375,1.0,0.025384349572164525,1
2020-03-11,A,Finance,110087.0,205631,64138,1492149,243599,5102981,9522351,49834,2.5282434997083847,41.37618697839491,0.7544518302994896,0.4622805561465645,0.04773660728895522,0.36139560550841393,0.4316499293641771,Africa,60+,High,-95544.0,10228621,0.04298364305441347,114989.90756453737,-95544.0,0.008647471595630864,1.0,0.027157342411708404,5
2020-03-12,D,Finance,949726.0,114605,81728,9653110,290120,1712205,43278629,18653,7.601446975260568,8.110340301281145,2.123686800500126,0.2761745181542905,0.16944232729141662,1.5380365664659692,0.818065041331282,Europe,60+,High,835121.0,11945424,0.008466494217925622,900710.1520661241,835121.0,0.008647471595630864,1.0,0.04394361900582451,9
2020-03-13,D,Finance,687027.0,221593,65287,7300754,220870,4455809,23248298,49629,-5.105193110580004,37.23037453121468,1.4853039078260375,0.1984341898311303,0.049569000825663755,-0.03582603910995154,-0.6406337822595161,Europe,60+,High,465434.0,11945424,0.008942501007430192,761817.3164307305,465434.0,0.008647471595630864,1.0,0.04185094895036112,8
2020-03-14,B,Technology,704856.0,65092,94990,8362989,740128,9621045,46323496,22092,-6.2203875466148695,37.91676681203434,1.6691963295649983,0.3389520918549018,0.07692802600964864,1.5646436558140062,-0.5249133501522447,Asia,46-60,Medium,639764.0,9976726,0.011358379163239363,611945.409625356,639764.0,0.008624016061378312,1.0,0.013132846569967048,8
2020-03-15,C,Healthcare,587939.0,325540,-3494,3792610,262445,2693322,99558937,23772,4.384300645891074,23.56075528560907,1.3078967874871217,0.3029474904453998,0.09744286052688836,-2.6197451040897444,0.9427901880832792,North America,26-35,High,262399.0,12271563,-0.0009212653027862079,560779.9371978595,262399.0,0.008637771379571375,1.0,0.03623884992811152,5
2020-03-16,B,Healthcare,396198.0,39654,52319,4467669,170427,6347095,42055206,10433,-6.06846762516335,29.52508959819368,1.657646737130817,0.1027615090341062,0.026851181524776294,0.8219025043752238,-0.6380460945810205,North America,36-45,Low,356544.0,9976726,0.01171058106587574,371944.1768886795,356544.0,0.008637771379571375,1.0,0.023831681897589004,9
2020-03-17,D,Finance,89019.0,80875,83904,6927223,840327,5535554,15531073,36116,-4.193565223092028,38.82089397267842,1.9505631510649224,0.2725049781635576,0.1518054019525417,0.08704706823817122,0.7087701867391583,South America,60+,Low,8144.0,11945424,0.012112212931502277,86590.8143197597,8144.0,0.008647471595630864,1.0,0.024990958161377495,3
2020-03-18,B,Healthcare,424502.7822531132,485750,22184,5506813,866725,7838797,31752194,31623,6.793077131539359,21.57674171516501,1.3084172139406849,0.135613611190819,0.11056862424170444,-0.29900735046586746,-0.01544428710393042,Asia,60+,Medium,-61247.217746886774,9976726,0.004028464376763838,472349.31028893014,-61247.217746886774,0.008637771379571375,1.0,0.003077291683566713,3
2020-03-19,B,Healthcare,150513.0,156101,256,6853544,164738,5599997,5059134,49133,0.9387707375012724,40.71426876739386,0.8972332890815189,0.2320044822325386,0.029417515759383443,0.0917607765355023,-0.5055378511936459,South America,26-35,Low,-5588.0,9976726,3.735293739997876e-05,149560.13423600438,-5588.0,0.008637771379571375,1.0,0.018296142346118042,1
